Node_ID	Betweenness_Centrality
5049	55861.816406
3232	55830.113281
4650	55799.460938
6209	55740.968750
2734	55706.691406
3357	55565.644531
4578	55548.500000
5126	55448.000000
3619	55441.390625
5995	55432.480469
4567	55429.296875
8602	55428.437500
296	55218.144531
1444	55165.351562
370	55082.195312
1904	55033.480469
1380	54836.265625
4125	54835.593750
596	54833.921875
5516	54783.609375
7308	54778.207031
10388	54729.675781
11282	54593.332031
4874	54556.582031
122	54525.687500
814	54522.296875
10438	54458.652344
1013	54423.941406
1672	54316.453125
2281	54299.296875
8643	54156.691406
9971	54142.179688
811	54038.222656
3795	54014.867188
8717	53915.949219
1622	53862.585938
3127	53859.835938
9070	53830.312500
2580	53619.261719
10181	53603.792969
6334	53551.660156
4261	53551.046875
12048	53549.175781
3906	53493.414062
9391	53491.675781
7376	53491.535156
2526	53444.515625
153	53415.132812
1310	53393.464844
3323	53308.214844
9031	53183.566406
880	53167.425781
849	53165.808594
2182	53115.863281
1548	53091.191406
1260	53083.000000
4231	52961.636719
3031	52908.464844
729	52839.730469
1009	52812.660156
862	52676.523438
6492	52526.078125
5523	52498.980469
9674	52448.714844
8933	52431.972656
5861	52325.046875
4564	52240.031250
10160	52200.195312
4057	52188.007812
4801	52131.902344
1523	52116.828125
1585	52104.570312
1020	52085.601562
8134	52082.171875
6612	52078.539062
520	52051.378906
2798	52043.339844
8041	52028.605469
2918	52012.652344
5665	51980.320312
3492	51978.800781
5441	51946.433594
2228	51911.843750
1155	51909.613281
4433	51851.007812
5219	51829.449219
10447	51730.253906
3669	51702.078125
3616	51692.093750
2627	51662.902344
1302	51606.355469
246	51598.886719
1771	51589.726562
3543	51530.417969
3081	51529.562500
969	51516.546875
10640	51499.000000
2163	51483.367188
127	51438.312500
8711	51386.320312
2702	51369.445312
1818	51369.152344
1359	51316.203125
5287	51223.093750
1001	51222.750000
4477	51202.679688
3574	51186.003906
9117	51102.300781
6071	51051.093750
344	51035.773438
3576	51031.136719
1099	50990.296875
8361	50983.765625
2087	50939.839844
1516	50908.347656
5690	50861.113281
1176	50802.039062
1466	50769.695312
1975	50756.730469
3430	50726.593750
2682	50724.289062
5243	50665.757812
2324	50638.808594
7128	50633.007812
3916	50549.828125
877	50502.695312
211	50497.136719
2077	50470.000000
5200	50448.253906
1177	50419.023438
1353	50344.027344
1282	50341.042969
10363	50290.785156
331	50257.113281
7433	50189.605469
4914	50188.839844
1787	50172.761719
6667	50157.773438
8075	50086.203125
4015	50042.609375
157	50026.613281
927	50021.195312
6752	49989.625000
519	49972.449219
5081	49968.289062
4937	49968.031250
12164	49966.000000
12114	49966.000000
10405	49966.000000
7192	49966.000000
4067	49966.000000
